NR,AU,AUNR
n1,"Acevedo Oquendo, Rogelio",1.0
n2,"Diaz, Jorge-Aurelio",1.0
n2,"Rojas-Claros, Armando",2.0
n3,"Moreno Rivas, Alvaro Martin",1.0
n4,"Esguerra Pardo, Nicolas Boris",1.0
n5,"Carlos Villamizar, Juan",1.0
n6,"Carvajal Builes, Juan Camilo",1.0
n6,"Gutierrez de Pineres, Carolina",2.0
n7,"Romero-Acero, Alvaro",1.0
n7,"Marin-Cano, Alejandro",2.0
n7,"Alberto Jimenez-Builes, Jovani",3.0
n8,"Ignacio Ruiz-Perez, Jose",1.0
n8,"Aparicio Barrera, Juan",2.0
n9,"Jimenez Triana, Juan Carlos",1.0
n9,"Perez Arango, Diana",2.0
n10,"Fernando Valencia, Juan",1.0
n11,"Guarin Duque, Gustavo Adolfo",1.0
n12,"Giraldo, Mateo Duque",1.0
n13,"Torres Ruiz, Jacqueline",1.0
n13,"Parra Gonzalez, Claudia Valeria",2.0
n13,"Gutierrez Ramirez, Juan Camilo",3.0
n14,"Martinez Zuluaga, Juan Pablo",1.0
n14,"Saenz Lozada, Maria Luz",2.0
n14,"Echeverry Raad, Jairo",3.0
n15,"Alejandro Pineda-Roa, Carlos",1.0
n15,"Katherine Galindo-Ascanio, Geydi",2.0
n15,"Paola Gonzalez-Moreno, Diana",3.0
n15,"Alexander Chaparro-Clavijo, Reynel",4.0
n16,"Perez, D. M.",1.0
n16,"Mejia, L. C.",2.0
n16,"Sanchez, M. R.",3.0
n16,"Garzon-Orjuela, N.",4.0
n16,"Eslava-Schmalbach, J.",5.0
n17,"Ospina Zuniga, Oscar Efren",1.0
n17,"Cardona Garcia, Oscar Hernan",2.0
n18,"Breci Ramirez, Miguel",1.0
n18,"Moncayo Santacruz, Daniel",2.0
n19,"Bensaude-Vincent, Bernadette",1.0
n20,"Rengifo Martinez, Jose Daniel",1.0
n20,"Mendieta Chaparro, Luisa Maria",2.0
n21,"Pulido Arango, Ana Maria",1.0
n21,"Riveros Loaiza, Luis Miguel",2.0
n21,"Rodriguez Cabra, Javier Leonardo",3.0
n22,"Ostau de Lafont de Leon, Francisco Rafael",1.0
n22,"Nino Chavarro, Leidy Angela",2.0
n23,"Aires, Diogo Cavazotti",1.0
n24,"Cubillos Garzon, Camilo Enrique",1.0
n25,"Andres Llano, Fabian",1.0
n26,"Alexandra Montoya-Restrepo, Luz",1.0
n26,"Eduardo Uribe-Arevalo, Abel",2.0
