Authors	Record Count	
Wang J	1016	
Wang Z	957	
Wang Y	952	
Zhang J	825	
Wang H	818	
Gupta R	814	
Zhang Z	807	
Chen X	806	
Mehta A	797	
Wang Q	797	
Fabbri F	794	
Liu M	793	
Banerjee S	777	
Chen Y	777	
Lenz T	777	
Li H	766	
Li Q	760	
Wang F	756	
Sharma A	754	
Zhang H	746	
Bocci A	742	
Zhang Y	734	
Dreyer T	712	
Li L	705	
Zhang F	681	
Wang C	680	
Liu H	668	
Freund B	659	
Vorobyev A	624	
Roy D	617	
Funk W	615	
Xu Z	612	
Dutta D	610	
Zhang L	602	
Bi R	598	
Sen S	598	
Popov A	594	
Williams T	589	
Chen S	582	
Chen C	581	
Lee S	581	
Geralis T	576	
Li Y	571	
Gao Y	570	
Roy A	567	
Golubkov D	565	
Gomes A	565	
Uchida K	561	
Wang M	561	
Yu J	554	
Cai H	550	
Zhang S	549	
Li J	530	
Sun J	525	
Ahmad A	515	
Chang P	511	
Yang Z	503	
Artamonov A	487	
Gomez G	486	
Kumar A	485	
Bhatnagar V	482	
Xu Q	482	
Weber M	478	
Wang S	476	
Sharma R	473	
Lee J	471	
Avila C	470	
Khan A	469	
Hebbeker T	464	
Sanchez-hernandez A	464	
Abbrescia M	463	
Benussi L	461	
Piccolo D	461	
Bianco S	460	
Braghieri A	460	
Fernandez M	460	
Riccardi C	460	
Rodozov M	460	
Tytgat M	460	
Castilla-valdez H	459	
Hadjiiska R	459	
Lista L	459	
Santoro A	459	
Castro A	457	
Sharma S	457	
Dimitrov A	456	
Dominguez A	456	
Lee KS	456	
Park SK	456	
Sultanov G	456	
Erdmann M	455	
Ulrich R	455	
Vitulo P	455	
Kim J	454	
Litov L	454	
Pavlov B	454	
Perez E	454	
Buontempo S	453	
Cabrera A	453	
Florez C	453	
Goh J	453	
Hong B	453	
Kim TJ	453	
Pugliese G	453	
Aleksandrov A	452	
Calderon A	452	
Gouzevitch M	452	
Kim H	452	
Liu B	452	
Meola S	452	
Pedraza I	452	
Qian SJ	452	
Velasco M	452	
Xu L	452	
Lee K	451	
Mirabito L	451	
Paolucci P	451	
Pena C	451	
Shah MA	451	
Kumar S	450	
Martinez G	449	
Hansen P	448	
Soares MS	448	
Chen M	447	
Harder K	447	
Iaydjiev P	447	
Lee H	447	
Mulhearn M	447	
Najafabadi MM	447	
Sahoo N	447	
Shchutska L	447	
Wu Z	447	
Cieri D	446	
Li W	446	
Montagna P	446	
Salvini P	446	
Shopova M	446	
Gomez JP	445	
Nachtman J	445	
Delgado A	444	
Estrada CU	444	
Jha V	444	
Kumar V	444	
Snow GR	444	
Fienga F	443	
Li X	443	
Onel Y	443	
Primavera F	443	
Costanza F	442	
Ghosh S	442	
Lee SW	442	
Moreno SC	442	
Nguyen M	442	
Petkov P	442	
Singh JB	442	
Alves GA	441	
Besancon M	441	
Couderc F	441	
Iaselli G	441	
Choi S	440	
De Roeck A	440	
Johnson M	440	
Malik S	440	
Novak T	440	
Thomas S	440	
Adams T	439	
Brew C	439	
Cussans D	439	
Freeman J	439	
Gastler D	439	
Huang T	439	
Iles G	439	
Jones M	439	
Laktineh IB	439	
Long K	439	
Matveev V	439	
Nogima H	439	
Paramesvaran S	439	
Penzo A	439	
Potenza R	439	
Saoulidou N	439	
Tapper A	439	
Tiras E	439	
Wang D	439	
Zenaiev O	439	
Zhao J	439	
Ban Y	438	
Bansal S	438	
Choudhary BC	438	
Davies G	438	
De Souza SF	438	
Erbacher R	438	
Hauser J	438	
Kamon T	438	
Kaur A	438	
Maggi M	438	
Meyer A	438	
Parashar N	438	
Suarez I	438	
Yang Y	438	
Yu I	438	
Acosta D	437	
Akbiyik M	437	
Askew A	437	
Barberis E	437	
Bean A	437	
Bloom K	437	
Brodski M	437	
Chapon E	437	
Cutts D	437	
Demina R	437	
Dutta S	437	
Gavrilov V	437	
Gerber CE	437	
Gershtein Y	437	
Heintz U	437	
Hensel C	437	
Hirosky R	437	
Iashvili I	437	
Kubota Y	437	
Narain M	437	
Roskas C	437	
Ruchti R	437	
Tully C	437	
Varelas N	437	
Wayne M	437	
Agaras MN	436	
Bhat PC	436	
Bruno G	436	
Cavallo N	436	
Colaleo A	436	
Dalchenko M	436	
De Filippis N	436	
Dildick S	436	
Elvira VD	436	
Evans A	436	
Francois B	436	
Galloni C	436	
Gilmore J	436	
Hill C	436	
Hohlmann M	436	
Jabeen S	436	
Jain S	436	
Lim J	436	
Lincoln D	436	
Lipton R	436	
Naimuddin M	436	
Nuzzo S	436	
Ranieri A	436	
Safonov A	436	
Sturdy J	436	
Titov M	436	
Campbell A	435	
Costa M	435	
Fabozzi F	435	
Garcia-bellido A	435	
Grohsjean A	435	
Hoepfner K	435	
Jung AW	435	
Juodagalvis A	435	
Kumari P	435	
Lange C	435	
Saltzberg D	435	
Szillasi Z	435	
Tuuva T	435	
Venditti R	435	
Bianco M	434	
